iter	Logloss
0	0.6557798365
1	0.6167980789
2	0.5799301013
3	0.5481649642
4	0.5170767279
5	0.4902743223
6	0.465472573
7	0.4439838507
8	0.4238833622
9	0.4074700426
10	0.3917395484
11	0.3778554629
12	0.365606098
13	0.3537116666
14	0.3401839767
15	0.3290656065
16	0.3177156548
17	0.307988729
18	0.2998692911
19	0.2908358769
20	0.2819902245
21	0.2765821119
22	0.2691042473
23	0.2627151937
24	0.2580951262
25	0.2533251431
26	0.2481002211
27	0.2435458668
28	0.2391420839
29	0.2352705844
30	0.2315641558
31	0.2279378875
32	0.2244541224
33	0.2208937488
34	0.2168762301
35	0.2125484302
36	0.2091863138
37	0.2062757596
38	0.2035655053
39	0.2009779867
40	0.1987351084
41	0.196628855
42	0.1938151972
43	0.1915630774
44	0.1889369313
45	0.1875049356
46	0.1852689625
47	0.1832403189
48	0.1795887819
49	0.1779681722
50	0.1767536402
51	0.1750918454
52	0.1737926221
53	0.1724347496
54	0.1698034977
55	0.1680742762
56	0.1667728227
57	0.1656770296
58	0.1645126807
59	0.1634335819
60	0.1624812932
61	0.1613915285
62	0.160455976
63	0.1598912405
64	0.1590783544
65	0.1585542944
66	0.157846486
67	0.1570983979
68	0.1563044527
69	0.1556044225
70	0.1552751878
71	0.1548775473
72	0.1542244542
73	0.1531672248
74	0.1527253656
75	0.1522650904
76	0.1519167213
77	0.1511929841
78	0.1509495464
79	0.1506476054
80	0.1499520828
81	0.1471493948
82	0.1465405268
83	0.1463039065
84	0.1458767105
85	0.1455492255
86	0.1453575799
87	0.1449026387
88	0.144685319
89	0.1421356721
90	0.1418977246
91	0.1416140878
92	0.1412627668
93	0.1407596952
94	0.1404646805
95	0.1400820484
96	0.1397920967
97	0.1395930694
98	0.1372838327
99	0.1369865053
100	0.1368046247
101	0.1345701616
102	0.1343553544
103	0.1339364635
104	0.1337135206
105	0.1332088505
106	0.1327827902
107	0.1325374052
108	0.1323184099
109	0.1320375084
110	0.1306499269
111	0.1295711813
112	0.1285252821
113	0.1272875609
114	0.1270146524
115	0.1267014202
116	0.1254333385
117	0.1252604617
118	0.1241754424
119	0.1234174106
120	0.1225933779
121	0.1222489835
122	0.1212993131
123	0.1210642199
124	0.120918122
125	0.1204952147
126	0.1202799751
127	0.1196318079
128	0.1187649797
129	0.1181392603
130	0.1173566511
131	0.1172011342
132	0.1170307637
133	0.1169331376
134	0.1162734636
135	0.1158423541
136	0.1156805282
137	0.1150665513
138	0.1149529492
139	0.1142382515
140	0.1135623409
141	0.1134063151
142	0.1128781101
143	0.1124388217
144	0.1123037857
145	0.1121192861
146	0.1116316519
147	0.1112786014
148	0.1109825417
149	0.1106001533
150	0.11001871
151	0.1097387029
152	0.1095982956
153	0.1092394619
154	0.1090830749
155	0.1087872373
156	0.1083249639
157	0.1082106899
158	0.1078765626
159	0.1076077773
160	0.1073507556
161	0.1071819232
162	0.1067607072
163	0.1066552176
164	0.1063370243
165	0.1059541697
166	0.1057430429
167	0.1055417631
168	0.1054059973
169	0.105168331
170	0.1050188611
171	0.1048741351
172	0.1046038069
173	0.1042296182
174	0.1041052134
175	0.1039848419
176	0.1038811589
177	0.1036275838
178	0.1034239533
179	0.1032925382
180	0.1030593921
181	0.1029506136
182	0.10278898
183	0.102707981
184	0.1025236598
185	0.1023571083
186	0.1021688548
187	0.1020527403
188	0.1019001433
189	0.1016717872
190	0.1015459289
191	0.1014396429
192	0.1011828441
193	0.1009651552
194	0.1008168742
195	0.1006843734
196	0.1005606988
197	0.1004076851
198	0.100180932
199	0.1000102758
200	0.09992176708
201	0.0996196873
202	0.09949545592
203	0.09938917118
204	0.09918186137
205	0.09902461836
206	0.09890582481
207	0.09880092192
208	0.09871914365
209	0.09858187184
210	0.09845917952
211	0.09835085939
212	0.09826688828
213	0.09808993921
214	0.09797765314
215	0.09787332282
216	0.09776557954
217	0.097669829
218	0.09756189398
219	0.09743758913
220	0.09738722156
221	0.09716852728
222	0.09708256283
223	0.09694375043
224	0.0967625063
225	0.09664291795
226	0.09654834638
227	0.09642410273
228	0.09632522009
229	0.09621179466
230	0.09608819084
231	0.09599797074
232	0.09591057484
233	0.09584830173
234	0.09569505551
235	0.09560827015
236	0.09552363087
237	0.09535879861
238	0.09516854842
239	0.09510139909
240	0.09503233328
241	0.09493141671
242	0.09482175832
243	0.09462858189
244	0.09452723333
245	0.09443645125
246	0.09435352141
247	0.09423601878
248	0.09408973918
249	0.09398409423
250	0.09387976819
251	0.09377295505
252	0.09365965274
253	0.09354846038
254	0.09345456467
255	0.09333397965
256	0.09325882842
257	0.09317635109
258	0.09307671314
259	0.09292887806
260	0.09285990219
261	0.09273082995
262	0.09273082951
263	0.09263873552
264	0.09241574238
265	0.09232572393
266	0.0922630178
267	0.09216999279
268	0.09207805781
269	0.09203004996
270	0.09193634814
271	0.09181701808
272	0.09172128322
273	0.09161881739
274	0.09141803386
275	0.09128870832
276	0.09115432516
277	0.0910574806
278	0.09099228061
279	0.09095459264
280	0.0908813524
281	0.09083749741
282	0.09075688647
283	0.09066871534
284	0.09053088981
285	0.09049587614
286	0.09043450837
287	0.09034533648
288	0.09017890697
289	0.09012992375
290	0.09006220197
291	0.08990846807
292	0.08985936264
293	0.08976252309
294	0.08971087358
295	0.08966179832
296	0.08957651161
297	0.08945485449
298	0.0894157326
299	0.08933827951
300	0.08926346986
301	0.08920400622
302	0.08914481359
303	0.08905782978
304	0.08894776854
305	0.08891270842
306	0.0888133012
307	0.08876323682
308	0.08867153117
309	0.08863355756
310	0.08855716782
311	0.08847176059
312	0.08839611496
313	0.08839358943
314	0.08832486555
315	0.08820142041
316	0.08806751425
317	0.08792768887
318	0.08783209009
319	0.08771075245
320	0.08763526418
321	0.08756075352
322	0.08749168902
323	0.08741311596
324	0.08736022262
325	0.08731977069
326	0.08729956987
327	0.08720480733
328	0.08716398255
329	0.08707418247
330	0.08699666984
331	0.08694267385
332	0.08686236382
333	0.08680484024
334	0.08665820645
335	0.08648743003
336	0.08640998904
337	0.08631856089
338	0.08625232458
339	0.08606703494
340	0.08601631394
341	0.08595658356
342	0.08587996573
343	0.0858103003
344	0.08575689679
345	0.08571802667
346	0.08564001673
347	0.08557909352
348	0.08545400134
349	0.08533603498
350	0.08526842661
351	0.0851664782
352	0.08512822493
353	0.0850683185
354	0.08500484804
355	0.08483511371
356	0.08472763151
357	0.0846695249
358	0.08461030918
359	0.08448449375
360	0.08439065064
361	0.08431082619
362	0.08425935655
363	0.08417535055
364	0.08414394883
365	0.0840824744
366	0.08400595985
367	0.08386626183
368	0.08381965629
369	0.08375489089
370	0.08369198313
371	0.08361735031
372	0.08354414051
373	0.0834942043
374	0.08336243015
375	0.08332785385
376	0.08328575993
377	0.08316998018
378	0.08307948561
379	0.08304239302
380	0.08296998431
381	0.08295278181
382	0.08290270958
383	0.08281466709
384	0.0827533843
385	0.08264174149
386	0.08257405297
387	0.08251038951
388	0.08243817676
389	0.08233824106
390	0.08226577847
391	0.0821430094
392	0.08213697534
393	0.0820833653
394	0.08203145415
395	0.0819725812
396	0.08193205916
397	0.08190474861
398	0.08184147945
399	0.08179652219
400	0.08177496852
401	0.08171530145
402	0.08169352077
403	0.08163133335
404	0.08147247171
405	0.08143495941
406	0.08137054755
407	0.0812468209
408	0.08119761421
409	0.08116279328
410	0.08106355588
411	0.08102738577
412	0.08096712378
413	0.08095325889
414	0.08090085204
415	0.08083613749
416	0.08078312691
417	0.08067268577
418	0.08065008412
419	0.08050324934
420	0.08046638452
