iter	Passed	Remaining
0	71	71657
1	100	50276
2	125	41776
3	146	36509
4	170	33859
5	198	32913
6	227	32285
7	257	31917
8	284	31325
9	330	32675
10	350	31537
11	390	32183
12	408	31043
13	445	31348
14	481	31587
15	514	31658
16	548	31690
17	580	31695
18	607	31377
19	642	31491
20	690	32207
21	706	31422
22	743	31589
23	771	31358
24	797	31119
25	825	30937
26	856	30881
27	888	30843
28	913	30585
29	934	30227
30	959	30007
31	978	29602
32	997	29220
33	1014	28823
34	1039	28664
35	1065	28530
36	1091	28397
37	1118	28316
38	1137	28035
39	1166	27993
40	1188	27798
41	1218	27782
42	1249	27817
43	1280	27820
44	1318	27985
45	1358	28170
46	1401	28419
47	1438	28525
48	1470	28532
49	1509	28675
50	1549	28825
51	1592	29025
52	1628	29090
53	1662	29121
54	1697	29167
55	1729	29159
56	1765	29203
57	1796	29178
58	1830	29201
59	1865	29230
60	1903	29302
61	1937	29314
62	1969	29297
63	2005	29325
64	2184	31426
65	2417	34208
66	2586	36012
67	2677	36696
68	2745	37041
69	2798	37174
70	2853	37333
71	2901	37394
72	2942	37361
73	2983	37338
74	3021	37266
75	3061	37217
76	3116	37352
77	3159	37342
78	3200	37315
79	3237	37232
80	3272	37124
81	3306	37015
82	3339	36898
83	3374	36795
84	3407	36681
85	3444	36610
86	3473	36450
87	3503	36312
88	3537	36207
89	3571	36112
90	3607	36038
91	3647	36003
92	3678	35871
93	3713	35793
94	3749	35720
95	3792	35710
96	3836	35713
97	3872	35640
98	3905	35542
99	3940	35460
100	3976	35393
101	4014	35339
102	4054	35308
103	4084	35186
104	4120	35124
105	4154	35036
106	4185	34929
107	4214	34810
108	4250	34745
109	4284	34665
110	4315	34562
111	4347	34470
112	4380	34381
113	4413	34300
114	4453	34269
115	4493	34245
116	4538	34248
117	4586	34283
118	4630	34281
119	4663	34198
120	4697	34121
121	4725	34011
122	4754	33898
123	4783	33795
124	4818	33729
125	4856	33688
126	4891	33620
127	4924	33545
128	4956	33466
129	4985	33366
130	5014	33264
131	5047	33193
132	5081	33127
133	5115	33061
134	5148	32990
135	5179	32903
136	5211	32826
137	5242	32745
138	5277	32687
139	5307	32605
140	5344	32559
141	5427	32794
142	5484	32868
143	5524	32841
144	5580	32904
145	5611	32820
146	5640	32729
147	5673	32661
148	5706	32593
149	5738	32520
150	5774	32465
151	5821	32475
152	5861	32447
153	5902	32427
154	5938	32377
155	5971	32306
156	6002	32228
157	6038	32177
158	6067	32095
159	6101	32035
160	6138	31986
161	6174	31941
162	6216	31922
163	6263	31929
164	6293	31846
165	6326	31784
166	6357	31712
167	6388	31640
168	6424	31592
169	6453	31508
170	6489	31462
171	6521	31393
172	6552	31323
173	6585	31260
174	6627	31243
175	6657	31169
176	6692	31116
